OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
0,1,6090,3633.097628,38
0,1,10623,3633.097628,38
0,1,75484,3668.630006,39
0,1,79507,3668.630006,39
0,1,83642,3669.783672,40
0,1,1813,3682.672653,41
0,1,6141,3682.672653,41
0,1,19507,3682.672653,41
0,1,23535,3682.672653,41
0,1,27514,3682.672653,41
0,1,31266,3682.672653,41
0,1,35163,3682.672653,41
0,1,39066,3682.672653,41
0,1,42658,3682.672653,41
0,1,46427,3682.672653,41
0,1,50295,3682.672653,41
0,1,54101,3682.672653,41
0,1,58092,3682.672653,41
0,1,62361,3682.672653,41
0,1,66829,3682.672653,41
0,1,71215,3682.672653,41
0,1,75493,3682.672653,41
0,1,79514,3682.672653,41
0,1,96707,3682.672653,41
0,1,101247,3682.672653,41
0,1,105772,3682.672653,41
0,1,110227,3682.672653,41
0,1,114198,3682.672653,41
0,1,118045,3682.672653,41
0,1,122193,3682.672653,41
0,1,126464,3682.672653,41
0,1,10671,3682.672653,42
0,1,15243,3682.672653,42
0,1,83654,3688.489457,43
0,1,87947,3688.489457,43
0,1,92225,3695.289668,44
0,1,46399,3863.858275,45
0,1,50265,3876.285261,46
0,1,71152,4238.937287,47
0,1,75442,4238.937287,47
0,1,117986,4238.937287,47
0,1,122133,4238.937287,48
0,1,126407,4238.937287,48
0,1,15271,5217.235389,49
0,1,19540,5217.235389,49
0,1,23578,5217.235389,50
0,1,58024,5405.760428,51
0,1,62281,5405.760428,51
0,1,66744,5405.760428,51
0,1,71134,5405.760428,51
0,1,35107,5485.782911,52
0,1,39006,5485.782911,52
0,1,117954,5488.306951,53
0,1,122103,5488.306951,53
0,1,101160,5505.676703,54
0,1,105687,5505.676703,54
0,1,110136,5516.435162,55
0,1,114119,5516.435162,55
0,1,1740,5526.4584,56
0,1,6069,5526.4584,56
0,1,31210,5526.4584,56
0,1,42612,5526.4584,56
0,1,10604,5540.315677,57
0,1,15178,5540.315677,57
0,1,19447,5540.315677,57
0,1,23472,5540.315677,57
